100 4950
1 2 16
1 3 9
1 4 20
1 5 9
1 6 7
1 7 28
1 8 25
1 9 30
1 10 8
1 11 18
1 12 19
1 13 26
1 14 22
1 15 21
1 16 8
1 17 9
1 18 19
1 19 11
1 20 23
1 21 7
1 22 16
1 23 28
1 24 6
1 25 17
1 26 12
1 27 15
1 28 25
1 29 18
1 30 17
1 31 21
1 32 21
1 33 19
1 34 20
1 35 15
1 36 17
1 37 20
1 38 28
1 39 22
1 40 26
1 41 16
1 42 10
1 43 28
1 44 30
1 45 29
1 46 22
1 47 29
1 48 6
1 49 10
1 50 17
1 51 26
1 52 26
1 53 15
1 54 8
1 55 29
1 56 20
1 57 28
1 58 12
1 59 11
1 60 21
1 61 17
1 62 23
1 63 22
1 64 15
1 65 27
1 66 7
1 67 8
1 68 12
1 69 21
1 70 30
1 71 8
1 72 29
1 73 17
1 74 25
1 75 30
1 76 9
1 77 13
1 78 15
1 79 23
1 80 27
1 81 7
1 82 12
1 83 22
1 84 30
1 85 9
1 86 22
1 87 11
1 88 25
1 89 30
1 90 18
1 91 16
1 92 13
1 93 8
1 94 23
1 95 23
1 96 18
1 97 12
1 98 25
1 99 12
1 100 10
2 3 25
2 4 9
2 5 7
2 6 23
2 7 8
2 8 24
2 9 22
2 10 19
2 11 27
2 12 11
2 13 20
2 14 23
2 15 17
2 16 6
2 17 26
2 18 18
2 19 18
2 20 12
2 21 21
2 22 22
2 23 18
2 24 10
2 25 9
2 26 13
2 27 9
2 28 9
2 29 18
2 30 30
2 31 24
2 32 26
2 33 30
2 34 13
2 35 28
2 36 9
2 37 30
2 38 21
2 39 13
2 40 17
2 41 12
2 42 25
2 43 19
2 44 7
2 45 13
2 46 28
2 47 26
2 48 15
2 49 25
2 50 28
2 51 15
2 52 12
2 53 21
2 54 10
2 55 7
2 56 21
2 57 15
2 58 16
2 59 11
2 60 25
2 61 17
2 62 22
2 63 29
2 64 16
2 65 7
2 66 20
2 67 18
2 68 29
2 69 25
2 70 17
2 71 28
2 72 7
2 73 15
2 74 11
2 75 20
2 76 20
2 77 15
2 78 19
2 79 8
2 80 26
2 81 24
2 82 25
2 83 20
2 84 8
2 85 10
2 86 6
2 87 12
2 88 24
2 89 29
2 90 15
2 91 15
2 92 6
2 93 11
2 94 6
2 95 21
2 96 22
2 97 26
2 98 17
2 99 12
2 100 7
3 4 13
3 5 22
3 6 23
3 7 12
3 8 22
3 9 11
3 10 18
3 11 23
3 12 20
